N,Quicksort_shuffled,Quicksort_10%,Quicksort_5,Quicksort_random_shuffled,Quicksort_random_10%,Quicksort_random_5,Quicksort_with_insertion_shuffled,Quicksort_with_insertion_10%,Quicksort_with_insertion_5
20,0.0002835459999999679,0.0005265529999999852,0.00036770400000002423,0.0005256590000000116,0.0005111010000000138,0.000510304000000017,0.0005038240000000416,0.0004928389999999672,0.0004953999999999792
40,0.0006132419999999583,0.001040441000000003,0.0010203010000000012,0.0011436579999999918,0.001070978999999972,0.0010495649999999745,0.0009759069999999981,0.0009293290000000343,0.0008824000000000054
80,0.0014846860000000128,0.0032801159999999996,0.003145275000000003,0.0019909739999999787,0.0018640449999999809,0.0019014460000000288,0.0018400410000000145,0.0018615390000000231,0.0019066449999999846
160,0.0030634729999999832,0.0052107379999999925,0.009314890999999992,0.004090401999999993,0.004114636000000005,0.004335012999999999,0.004394991000000015,0.004424048000000014,0.004358858999999993
320,0.006111175999999996,0.013651242000000008,0.038033439,0.009835714999999912,0.010113704000000001,0.009865349999999995,0.009898153000000076,0.009851166000000022,0.010000553999999995
640,0.014313963999999957,0.04013646399999998,0.16800551799999996,0.02301614400000007,0.022557747000000017,0.023085659000000147,0.02286835400000009,0.022536112000000053,0.023155407999999822
1280,0.03430612999999999,0.06344608800000007,0.693363809,0.055424432000000134,0.051160975000000164,0.05376366800000021,0.059665459999999726,0.06803782199999997,0.0768039629999997
2560,0.07207472400000003,0.19355195199999997,2.597947166999999,0.10152753800000092,0.10253025199999932,0.09997770200000033,0.10012752200000108,0.10463204199999865,0.10195992700000112
5120,0.163164953,0.36476317199999997,10.450838230000002,0.20488751399999927,0.21022606800000432,0.198096323999998,0.20282674499999587,0.20870361999999432,0.2006610600000016
10240,0.3741400119999998,0.9719349839999998,37.22619115299999,0.435786859000018,0.4294099270000231,0.4272829449999733,0.42255214700000465,0.41758326199999374,0.4182617460000131
